,Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20
49,Hebei,China,39.549,116.1306,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,1.0,1.0,5.0,2.0,-1.0,-4.0,3.0,0.0,-1.0,8.0,5.0,-5.0,-10.0,13.0,-3.0,2.0,1.0,-2.0,4.0,-3.0,-1.0,-1.0,-1.0,0.0,-10.0,2.0,7.0,-10.0,2.0,-3.0,2.0,-2.0,1.0,-2.0,0.0,0.0,0.0,1.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,1.0,-1.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,-1.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0
50,Heilongjiang,China,47.861999999999995,127.7615,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,2.0,1.0,-2.0,3.0,-3.0,0.0,15.0,-18.0,5.0,-1.0,12.0,7.0,-10.0,-5.0,20.0,-17.0,7.0,23.0,-10.0,-11.0,-13.0,11.0,-10.0,15.0,-8.0,5.0,23.0,-27.0,-4.0,-3.0,-1.0,11.0,-10.0,2.0,9.0,-14.0,-2.0,3.0,0.0,-4.0,5.0,-4.0,-1.0,2.0,-2.0,2.0,-3.0,3.0,-4.0,4.0,-3.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0,3.0,1.0,2.0,17.0,-20.0,42.0,-15.0,-29.0,-1.0,0.0,18.0,-19.0,54.0,9.0,-23.0,-4.0,-13.0,-22.0,76.0,-63.0,7.0,-15.0,-4.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0
51,Henan,China,33.882,113.61399999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,7.0,-1.0,5.0,9.0,-11.0,21.0,0.0,7.0,1.0,-11.0,1.0,22.0,11.0,-27.0,15.0,20.0,-56.0,38.0,13.0,35.0,-5.0,-56.0,37.0,-16.0,-28.0,4.0,9.0,14.0,-30.0,-21.0,19.0,-23.0,2.0,0.0,-5.0,3.0,-3.0,0.0,2.0,-2.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Hong Kong,China,22.3,114.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0,0.0,3.0,-2.0,-2.0,2.0,4.0,3.0,-8.0,5.0,-5.0,6.0,-3.0,0.0,-3.0,1.0,-1.0,6.0,-3.0,2.0,2.0,-6.0,5.0,-6.0,2.0,8.0,-9.0,2.0,0.0,1.0,0.0,-1.0,0.0,-3.0,2.0,-2.0,1.0,0.0,7.0,-8.0,2.0,-2.0,11.0,-6.0,14.0,-19.0,26.0,-26.0,33.0,-23.0,-10.0,48.0,-19.0,-13.0,11.0,-3.0,-24.0,74.0,-49.0,1.0,22.0,-13.0,-1.0,-6.0,-8.0,8.0,-7.0,5.0,2.0,-9.0,-4.0,9.0,-5.0,-3.0,-3.0,-8.0,10.0,6.0,-1.0,-8.0,0.0,4.0,-9.0,8.0,-12.0,3.0,11.0,-16.0,9.0,-7.0,-1.0,-1.0,-1.0,0.0
53,Hubei,China,30.9756,112.2707,28,-28.0,3.0,-2.0,9.0,-7.0,32.0,-27.0,-6.0,49.0,-24.0,100.0,-36.0,45.0,-25.0,73.0,114.0,26.0,32.0,71.0,-10.0,-370.0,726.0,542.0,-466.0,167.0,207.0,43.0,-57.0,242.0,-1358.0,3325.0,-3374.0,1361.0,818.0,-225.0,416.0,606.0,-430.0,-47.0,-145.0,-124.0,75.0,-314.0,-594.0,26.0,268.0,-482.0,2.0,136.0,-207.0,51.0,172.0,-79.0,-474.0,7.0,63.0,-169.0,-55.0,-136.0,-77.0,-41.0,-1.0,42.0,-97.0,141.0,-165.0,106.0,-153.0,-55.0,-91.0,-28.0,-4.0,9.0,33.0,-114.0,-10.0,10.0,-24.0,4.0,-21.0,-11.0,40.0,-32.0,14.0,-6.0,-981.0,955.0,6.0,-9.0,-1.0,2.0,45.0,-26.0,-13.0,1.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Hunan,China,27.6104,111.7088,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,6.0,2.0,-2.0,3.0,14.0,4.0,4.0,13.0,-14.0,-8.0,17.0,18.0,-22.0,-10.0,36.0,-22.0,-5.0,-5.0,5.0,39.0,-46.0,4.0,-9.0,-5.0,20.0,-22.0,6.0,5.0,-10.0,4.0,1.0,-2.0,-9.0,12.0,-5.0,-12.0,3.0,3.0,0.0,-6.0,-1.0,2.0,3.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Inner Mongolia,China,44.0935,113.9448,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,2.0,-1.0,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,-1.0,0.0,2.0,4.0,-5.0,8.0,-8.0,6.0,-6.0,2.0,2.0,-3.0,2.0,-1.0,-1.0,3.0,-1.0,-2.0,-2.0,2.0,1.0,-3.0,0.0,1.0,-1.0,0.0,0.0,0.0,2.0,-2.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-5.0,0.0,4.0,-4.0,8.0,-5.0,-3.0,9.0,-8.0,-1.0,0.0,4.0,-4.0,0.0,6.0,1.0,1.0,8.0,-15.0,3.0,-2.0,0.0,-2.0,2.0,2.0,3.0,-3.0,-3.0,-1.0,12.0,-9.0,-2.0,1.0,-2.0,4.0,-2.0,-2.0,0.0,0.0,0.0,0.0
56,Jiangsu,China,32.9711,119.455,0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,4.0,-3.0,0.0,0.0,3.0,7.0,0.0,-2.0,-1.0,12.0,-10.0,2.0,20.0,-18.0,4.0,11.0,3.0,8.0,-18.0,16.0,0.0,-21.0,11.0,-11.0,17.0,-28.0,14.0,0.0,-3.0,-9.0,5.0,-6.0,12.0,-4.0,-9.0,5.0,1.0,-6.0,3.0,-3.0,-6.0,2.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,-2.0,3.0,-2.0,-1.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Jiangxi,China,27.614,115.7221,0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,2.0,0.0,0.0,1.0,3.0,-4.0,5.0,3.0,-2.0,2.0,8.0,14.0,-9.0,1.0,-6.0,-1.0,6.0,7.0,5.0,0.0,17.0,19.0,-15.0,10.0,-8.0,-26.0,6.0,-2.0,-1.0,1.0,-15.0,-1.0,-1.0,1.0,-6.0,3.0,-9.0,-1.0,-4.0,1.0,0.0,1.0,-3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Jilin,China,43.6661,126.1923,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,-2.0,0.0,8.0,-7.0,4.0,-1.0,-2.0,-1.0,0.0,3.0,0.0,-2.0,-1.0,5.0,-4.0,5.0,-5.0,4.0,-3.0,-1.0,0.0,4.0,-4.0,1.0,2.0,-5.0,3.0,-1.0,0.0,-2.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0,3.0,-3.0,0.0,0.0,5.0,4.0,-8.0,-1.0,0.0
59,Liaoning,China,41.2956,122.6085,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,1.0,-1.0,3.0,-3.0,5.0,-5.0,1.0,5.0,-5.0,7.0,-6.0,7.0,-8.0,2.0,-2.0,3.0,2.0,0.0,-4.0,2.0,0.0,-5.0,3.0,4.0,-7.0,3.0,-3.0,0.0,0.0,1.0,1.0,-2.0,2.0,-2.0,1.0,-1.0,1.0,0.0,0.0,4.0,-3.0,-2.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,-1.0,1.0,2.0,-3.0,2.0,-2.0,2.0,-2.0,2.0,-2.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Macau,China,22.1667,113.55,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,2.0,-2.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,0.0,3.0,-3.0,0.0,1.0,2.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,2.0,-2.0,0.0,0.0,0.0,-1.0,2.0,0.0,-2.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,-1.0,1.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0
61,Ningxia,China,37.2692,106.1655,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,4.0,6.0,-12.0,2.0,9.0,-7.0,-2.0,0.0,9.0,-9.0,2.0,5.0,-7.0,2.0,2.0,-4.0,8.0,-6.0,1.0,1.0,-1.0,-3.0,1.0,-1.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,-1.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Qinghai,China,35.7452,95.9956,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,2.0,2.0,-2.0,-2.0,2.0,-2.0,0.0,2.0,-1.0,-1.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Shaanxi,China,35.1917,108.8701,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,-1.0,5.0,-5.0,2.0,0.0,-3.0,9.0,-8.0,5.0,-2.0,5.0,-3.0,2.0,3.0,3.0,0.0,-1.0,-1.0,-4.0,3.0,-7.0,-3.0,1.0,4.0,-7.0,7.0,-8.0,7.0,-6.0,1.0,-2.0,1.0,-1.0,0.0,5.0,-5.0,0.0,0.0,0.0,1.0,2.0,-2.0,-1.0,0.0,2.0,-2.0,0.0,1.0,-1.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,3.0,-3.0,1.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,7.0,-8.0,1.0,1.0,0.0,-2.0,25.0,-24.0,1.0,-1.0,-1.0,3.0,-2.0,-1.0,0.0,2.0,-2.0,0.0
64,Shandong,China,36.3427,118.1498,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,2.0,-2.0,3.0,0.0,8.0,-2.0,-3.0,12.0,-16.0,11.0,-2.0,1.0,18.0,-11.0,-3.0,1.0,2.0,0.0,3.0,4.0,-6.0,-2.0,3.0,-10.0,10.0,-12.0,8.0,-2.0,6.0,-5.0,34.0,-46.0,57.0,-22.0,-31.0,6.0,43.0,-39.0,-12.0,1.0,-3.0,-3.0,-2.0,5.0,-5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,-2.0,0.0,4.0,-4.0,0.0,0.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,3.0,-2.0,-1.0,0.0,0.0,1.0,-1.0,2.0,-2.0,1.0,-1.0,0.0,1.0,-1.0,0.0,0.0,1.0,1.0,-2.0,0.0,0.0,0.0,0.0
65,Shanghai,China,31.201999999999998,121.4491,0,0.0,1.0,-1.0,0.0,2.0,-1.0,0.0,-1.0,4.0,-3.0,-1.0,0.0,2.0,1.0,7.0,-5.0,6.0,-8.0,1.0,0.0,1.0,0.0,23.0,6.0,-18.0,5.0,-5.0,-7.0,4.0,-1.0,4.0,6.0,-10.0,-5.0,-3.0,0.0,-1.0,5.0,-5.0,-1.0,0.0,2.0,1.0,-2.0,4.0,-6.0,0.0,3.0,-3.0,0.0,2.0,-3.0,0.0,1.0,-1.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,2.0,-3.0,0.0,4.0,-1.0,-3.0,2.0,3.0,3.0,19.0,-21.0,11.0,-5.0,-8.0,9.0,-10.0,5.0,-8.0,22.0,-5.0,-13.0,19.0,-23.0,9.0,0.0,-9.0,4.0,-5.0,26.0,-25.0,10.0,3.0,-10.0,10.0,-11.0,11.0,-13.0,3.0,1.0,-3.0,-1.0,3.0,-3.0,3.0,-2.0,-1.0,4.0,-2.0,3.0,-3.0,-1.0,-1.0,0.0,0.0,0.0
66,Shanxi,China,37.5777,112.2922,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,2.0,-3.0,3.0,-1.0,6.0,-4.0,3.0,-2.0,-4.0,5.0,-2.0,0.0,-1.0,6.0,-4.0,-1.0,5.0,-1.0,1.0,-6.0,1.0,4.0,-1.0,-2.0,2.0,-3.0,2.0,-3.0,0.0,1.0,2.0,-5.0,2.0,-2.0,0.0,0.0,1.0,3.0,-4.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-5.0,2.0,5.0,-2.0,-2.0,0.0,-3.0,4.0,4.0,-8.0,4.0,0.0,6.0,-7.0,-2.0,0.0,-1.0,2.0,-2.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Sichuan,China,30.6171,102.7103,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,2.0,6.0,-5.0,-3.0,10.0,-3.0,4.0,7.0,-7.0,-2.0,-4.0,2.0,5.0,-2.0,-5.0,7.0,13.0,-12.0,6.0,10.0,-15.0,5.0,-8.0,4.0,-2.0,5.0,-4.0,3.0,-4.0,1.0,7.0,-13.0,4.0,7.0,-2.0,-5.0,-2.0,-8.0,10.0,-2.0,0.0,-5.0,3.0,-3.0,-5.0,4.0,1.0,6.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,5.0,-4.0,-1.0,1.0,-1.0,2.0,0.0,-2.0,1.0,0.0,-1.0,0.0,2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Tianjin,China,39.3054,117.323,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,2.0,-2.0,4.0,-2.0,-1.0,9.0,0.0,-4.0,2.0,-7.0,1.0,4.0,-1.0,-2.0,0.0,13.0,-10.0,-2.0,1.0,1.0,-6.0,7.0,-5.0,-2.0,13.0,-13.0,4.0,-4.0,0.0,0.0,2.0,-1.0,-1.0,1.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,5.0,-1.0,-4.0,0.0,7.0,-6.0,-1.0,6.0,-3.0,-3.0,3.0,1.0,-1.0,-2.0,0.0,-1.0,1.0,-1.0,2.0,-2.0,3.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,1.0,0.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Tibet,China,31.6927,88.0924,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Xinjiang,China,41.1129,85.2401,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,3.0,-3.0,4.0,-2.0,-2.0,0.0,8.0,-6.0,0.0,-1.0,2.0,-1.0,-2.0,4.0,5.0,0.0,1.0,-8.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Yunnan,China,24.974,101.48700000000001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-2.0,0.0,2.0,3.0,0.0,-4.0,0.0,0.0,5.0,-5.0,8.0,-3.0,-6.0,5.0,5.0,-7.0,16.0,-2.0,-6.0,-3.0,1.0,-4.0,10.0,-9.0,0.0,-5.0,5.0,-1.0,-4.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,2.0,-2.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Zhejiang,China,29.1832,120.0934,0,0.0,1.0,-1.0,0.0,0.0,2.0,-2.0,1.0,9.0,-3.0,4.0,0.0,8.0,-3.0,0.0,13.0,23.0,-26.0,15.0,-13.0,23.0,-12.0,4.0,-18.0,3.0,23.0,-23.0,41.0,-40.0,17.0,-6.0,1.0,-19.0,4.0,33.0,6.0,-22.0,-2.0,-11.0,-7.0,1.0,-3.0,-11.0,13.0,-16.0,0.0,8.0,0.0,-11.0,-2.0,-2.0,14.0,-14.0,5.0,-5.0,0.0,1.0,1.0,-2.0,0.0,2.0,-2.0,0.0,1.0,-1.0,3.0,-3.0,0.0,1.0,-1.0,2.0,-2.0,1.0,0.0,-1.0,0.0,2.0,1.0,-3.0,1.0,1.0,-1.0,2.0,-1.0,-2.0,2.0,-2.0,1.0,1.0,0.0,-1.0,3.0,-4.0,1.0,0.0,2.0,-2.0,0.0,0.0,0.0,-1.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,,Colombia,4.5709,-74.2973,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,2.0,-2.0,3.0,-1.0,-2.0,2.0,-2.0,0.0,5.0,11.0,-8.0,8.0,-16.0,30.0,-27.0,-3.0,12.0,11.0,28.0,-28.0,-6.0,39.0,-7.0,-14.0,63.0,0.0,-14.0,-84.0,77.0,16.0,-93.0,66.0,-9.0,19.0,-12.0,2.0,11.0,-19.0,85.0,-115.0,84.0,3.0,-59.0,29.0,121.0,-71.0,17.0,-28.0,21.0,-9.0,-16.0,26.0,16.0,63.0,-123.0,25.0,37.0,-12.0,-5.0,59.0
